Country,TradeFlow,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Indonesia,Import,Rice,2020, World,19540900,35628600000000,Kg
Indonesia,Import,Rice,2020,Thailand,7630164,8859310000000,Kg
Indonesia,Import,Rice,2020,Vietnam,5110746,8871640000000,Kg
Indonesia,Import,Rice,2020,Pakistan,4151985,11051700000000,Kg
Indonesia,Import,Rice,2020,Myanmar,2114783,5784140000000,Kg
Indonesia,Import,Rice,2020,India,484930,1059440000000,Kg
Indonesia,Import,Rice,2020,China,47933,23760,Kg
Indonesia,Import,Rice,2020,Japan,118,326,Kg
Indonesia,Import,Rice,2020,Philippines,77,147,Kg
Indonesia,Import,Rice,2020,Singapore,77,101,Kg
Indonesia,Import,Rice,2020,United States,33,27,Kg
Indonesia,Import,Rice,2020,Germany,15,6,Kg
Indonesia,Import,Rice,2020,United Kingdom,12,35,Kg
Indonesia,Import,Rice,2020,"Other Asia, nes",10,6,Kg
Indonesia,Import,Rice,2020,Australia,9,84,Kg
Indonesia,Import,Rice,2020,"Korea, Rep.",5,6,Kg
Indonesia,Import,Rice,2020,"Hong Kong, China",4,1,Kg
Indonesia,Import,Rice,2020,Netherlands,1,2,Kg
Indonesia,Import,Rice,2020,Malaysia,1,1,Kg
Indonesia,Import,Rice,2019, World,18425409,44450900000000,Kg
Indonesia,Import,Rice,2019,Pakistan,6781991,18256500000000,Kg
Indonesia,Import,Rice,2019,Myanmar,5628719,16670100000000,Kg
Indonesia,Import,Rice,2019,Thailand,3856147,532780000000,Kg
Indonesia,Import,Rice,2019,Vietnam,1660947,3313310000000,Kg
Indonesia,Import,Rice,2019,India,301853,79733000000,Kg
Indonesia,Import,Rice,2019,United States,122945,740910,Kg
Indonesia,Import,Rice,2019,China,48250,24269,Kg
Indonesia,Import,Rice,2019,Japan,24320,90036,Kg
Indonesia,Import,Rice,2019,Philippines,164,366,Kg
Indonesia,Import,Rice,2019,Bahrain,50,3000,Kg
Indonesia,Import,Rice,2019,Malaysia,12,330,Kg
Indonesia,Import,Rice,2019,Saudi Arabia,8,30,Kg
Indonesia,Import,Rice,2019,"Korea, Rep.",4,9,Kg
Indonesia,Import,Rice,2018,World,103712842,225382000000000,Kg
Indonesia,Import,Rice,2018,Thailand,38653370,795600000000,Kg
Indonesia,Import,Rice,2018,Vietnam,36074564,76718100000000,Kg
Indonesia,Import,Rice,2018,India,13915855,33799900000000,Kg
Indonesia,Import,Rice,2018,Pakistan,13441595,3109900000000,Kg
Indonesia,Import,Rice,2018,Myanmar,1516140,41820000000,Kg
Indonesia,Import,Rice,2018,China,109412,227680,Kg
Indonesia,Import,Rice,2018,Indonesia,1366,6000,Kg
Indonesia,Import,Rice,2018,Philippines,244,330,Kg
Indonesia,Import,Rice,2018,Japan,175,234,Kg
Indonesia,Import,Rice,2018,Oman,52,60,Kg
Indonesia,Import,Rice,2018,Singapore,32,31,Kg
Indonesia,Import,Rice,2018,"Iran, Islamic Rep.",28,64,Kg
Indonesia,Import,Rice,2018,Qatar,10,24,Kg
Indonesia,Import,Rice,2017,World,14364172,30527500000000,Kg
Indonesia,Import,Rice,2017,Thailand,6028694,10894500000000,Kg
Indonesia,Import,Rice,2017,Pakistan,3479313,8750000000,Kg
Indonesia,Import,Rice,2017,Myanmar,1954614,574750000000,Kg
Indonesia,Import,Rice,2017,India,1339715,3220970000000,Kg
Indonesia,Import,Rice,2017,China,811865,241896000000,Kg
Indonesia,Import,Rice,2017,Vietnam,676129,1659990000000,Kg
Indonesia,Import,Rice,2017,Philippines,50344,54272,Kg
Indonesia,Import,Rice,2017,Japan,23499,72071,Kg
Indonesia,Import,Rice,2016,World,53184156,128318000000000,Kg
Indonesia,Import,Rice,2016,Thailand,24313123,5578900000000,Kg
Indonesia,Import,Rice,2016,Vietnam,21260276,53557700000000,Kg
Indonesia,Import,Rice,2016,Pakistan,4912411,13483300000000,Kg
Indonesia,Import,Rice,2016,India,1579501,361420000000,Kg
Indonesia,Import,Rice,2016,Myanmar,638276,16650000000,Kg
Indonesia,Import,Rice,2016,China,422068,127186000000,Kg
Indonesia,Import,Rice,2016,Malaysia,29354,720710,Kg
Indonesia,Import,Rice,2016,Japan,28347,93000,Kg
Indonesia,Import,Rice,2016,Philippines,717,1396,Kg
Indonesia,Import,Rice,2016,"Other Asia, nes",82,148,Kg
Indonesia,Import,Rice,2015,World,35160209,86160100000000,Kg
Indonesia,Import,Rice,2015,Vietnam,20256306,50937400000000,Kg
Indonesia,Import,Rice,2015,Thailand,6677238,12674600000000,Kg
Indonesia,Import,Rice,2015,Pakistan,6294917,180100000000,Kg
Indonesia,Import,Rice,2015,India,1367168,3416750000000,Kg
Indonesia,Import,Rice,2015,Myanmar,273225,8775000000,Kg
Indonesia,Import,Rice,2015,China,163102,479880,Kg
Indonesia,Import,Rice,2015,Philippines,50313,54187,Kg
Indonesia,Import,Rice,2015,Cambodia,40200,1000000,Kg
Indonesia,Import,Rice,2015,Malaysia,23188,825000,Kg
Indonesia,Import,Rice,2015,Japan,14553,80000,Kg
Lao PDR,Import,Rice,2023,World,1925123,8353610000000,Kg
Lao PDR,Import,Rice,2023,Thailand,1112893,5640790000000,Kg
Lao PDR,Import,Rice,2023,Unspecified,355003,1170410000000,Kg
Lao PDR,Import,Rice,2023,Vietnam,186013,720361000000,Kg
Lao PDR,Import,Rice,2023,United States,163958,191963000000,Kg
Lao PDR,Import,Rice,2023,Myanmar,59797,528036000000,Kg
Lao PDR,Import,Rice,2023,"Other Asia, nes",34801,763180,Kg
Lao PDR,Import,Rice,2023,India,10319,220020,Kg
Lao PDR,Import,Rice,2023,China,2265,33800,Kg
Lao PDR,Import,Rice,2023,Japan,39,1100,Kg
Lao PDR,Import,Rice,2023,"Hong Kong, China",31,2280,Kg
Lao PDR,Import,Rice,2023,France,4,141,Kg
Lao PDR,Import,Rice,2022,World,2562313,10138800000000,Kg
Lao PDR,Import,Rice,2022,Thailand,2034256,8198230000000,Kg
Lao PDR,Import,Rice,2022,Vietnam,208587,78263000000,Kg
Lao PDR,Import,Rice,2022,"Korea, Rep.",152450,2014000000,Kg
Lao PDR,Import,Rice,2022,Myanmar,98974,853601000000,Kg
Lao PDR,Import,Rice,2022,United States,39026,519800,Kg
Lao PDR,Import,Rice,2022,Japan,25834,301106,Kg
Lao PDR,Import,Rice,2022,China,1686,76536,Kg
Lao PDR,Import,Rice,2022,India,1433,130000,Kg
Lao PDR,Import,Rice,2022,Holy See,56,2000,Kg
Lao PDR,Import,Rice,2022,France,11,224,Kg
Lao PDR,Import,Rice,2021,World,2420308,8547250000000,Kg
Lao PDR,Import,Rice,2021,Thailand,1803957,6463370000000,Kg
Lao PDR,Import,Rice,2021,Vietnam,404053,1594420000000,Kg
Lao PDR,Import,Rice,2021,United States,143266,216852000000,Kg
Lao PDR,Import,Rice,2021,"Korea, Rep.",42756,13248000000,Kg
Lao PDR,Import,Rice,2021,India,18799,786000,Kg
Lao PDR,Import,Rice,2021,Myanmar,7042,606000,Kg
Lao PDR,Import,Rice,2021,China,377,7470,Kg
Lao PDR,Import,Rice,2021,Japan,36,94815,Kg
Lao PDR,Import,Rice,2021,Holy See,12,600,Kg
Lao PDR,Import,Rice,2021,France,8,245,Kg
Lao PDR,Import,Rice,2021,Italy,1,9,Kg
Lao PDR,Import,Rice,2020,World,3701132,14286300000000,Kg
Lao PDR,Import,Rice,2020,Thailand,2161486,7574670000000,Kg
Lao PDR,Import,Rice,2020,Vietnam,1391237,6377660000000,Kg
Lao PDR,Import,Rice,2020,United States,132563,219948000000,Kg
Lao PDR,Import,Rice,2020,Myanmar,9001,830650,Kg
Lao PDR,Import,Rice,2020,China,3880,59330,Kg
Lao PDR,Import,Rice,2020,India,1477,208000,Kg
Lao PDR,Import,Rice,2020,Namibia,1072,36000,Kg
Lao PDR,Import,Rice,2020,Japan,222,217026,Kg
Lao PDR,Import,Rice,2020,"Korea, Rep.",143,3244,Kg
Lao PDR,Import,Rice,2020,Canada,41,735,Kg
Lao PDR,Import,Rice,2020,France,10,234,Kg
Lao PDR,Import,Rice,2019,World,2501581,9355780000000,Kg
Lao PDR,Import,Rice,2019,Vietnam,1643531,633110000000,Kg
Lao PDR,Import,Rice,2019,Thailand,468165,2592740000000,Kg
Lao PDR,Import,Rice,2019,"Korea, Rep.",263270,150025000000,Kg
Lao PDR,Import,Rice,2019,United States,103499,22281000000,Kg
Lao PDR,Import,Rice,2019,Myanmar,14346,378735,Kg
Lao PDR,Import,Rice,2019,Japan,8563,207127,Kg
Lao PDR,Import,Rice,2019,China,167,3750,Kg
Lao PDR,Import,Rice,2019,Holy See,30,1200,Kg
Lao PDR,Import,Rice,2019,France,11,175,Kg
Lao PDR,Import,Rice,2018,World,2761640,2902040000000,Kg
Lao PDR,Import,Rice,2018,Thailand,2278213,2408460000000,Kg
Lao PDR,Import,Rice,2018,United States,314487,300589000000,Kg
Lao PDR,Import,Rice,2018,Vietnam,144467,1408000000,Kg
Lao PDR,Import,Rice,2018,Unspecified,24429,521469,Kg
Lao PDR,Import,Rice,2018,China,45,430114,Kg
Lao PDR,Import,Rice,2017,World,4466293,5712490000000,Kg
Lao PDR,Import,Rice,2017,Thailand,4241536,5419730000000,Kg
Lao PDR,Import,Rice,2017,United States,166135,20571000000,Kg
Lao PDR,Import,Rice,2017,Vietnam,31144,388006,Kg
Lao PDR,Import,Rice,2017,Japan,13885,172378,Kg
Lao PDR,Import,Rice,2017,China,13594,310115,Kg
Lao PDR,Import,Rice,2016,World,7867340,NA,NA
Lao PDR,Import,Rice,2016,Thailand,7597566,NA,NA
Lao PDR,Import,Rice,2016,United States,193088,NA,NA
Lao PDR,Import,Rice,2016,Vietnam,62509,NA,NA
Lao PDR,Import,Rice,2016,China,14177,NA,NA
Lao PDR,Import,Rice,2015,World,387953,53874000000,Kg
Lao PDR,Import,Rice,2015,Thailand,164836,296875000000,Kg
Lao PDR,Import,Rice,2015,United States,125475,135608000000,Kg
Lao PDR,Import,Rice,2015,Vietnam,96172,103546000000,Kg
Lao PDR,Import,Rice,2015,China,1470,27119,Kg
Malaysia,Import,Rice,2024,World,109762846,169531000000000,Kg
Malaysia,Import,Rice,2024,Vietnam,42986561,68763700000000,Kg
Malaysia,Import,Rice,2024,Pakistan,23541496,38205100000000,Kg
Malaysia,Import,Rice,2024,India,22755814,32576200000000,Kg
Malaysia,Import,Rice,2024,Thailand,14201284,21782100000000,Kg
Malaysia,Import,Rice,2024,Cambodia,5390493,6695240000000,Kg
Malaysia,Import,Rice,2024,Myanmar,796618,1433750000000,Kg
Malaysia,Import,Rice,2024,Japan,53652,281577,Kg
Malaysia,Import,Rice,2024,"Other Asia, nes",14058,169800,Kg
Malaysia,Import,Rice,2024,"Korea, Rep.",13322,249600,Kg
Malaysia,Import,Rice,2024,Indonesia,5671,31868,Kg
Malaysia,Import,Rice,2024,China,2337,7000,Kg
Malaysia,Import,Rice,2024,Spain,1535,7920,Kg
Malaysia,Import,Rice,2024,Germany,5,40,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,World,81584613,139638000000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Vietnam,21633419,39195800000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Thailand,21136201,37000100000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Pakistan,18620364,32206900000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,India,13767369,21344900000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Cambodia,3870146,5031520000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Myanmar,2456813,480000000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Japan,55399,257777,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Bangladesh,22127,180000,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,"Other Asia, nes",5924,49800,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Indonesia,5505,30750,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Singapore,3385,21950,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Spain,3373,17840,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,"Korea, Rep.",2972,9200,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,United Arab Emirates,1609,20920,Kg
Malaysia,Import,Semi-milled or wholly milled rice,2023,Malaysia,8,110,Kg
Malaysia,Import,Rice,2022,World,60830435,124225000000000,Kg
Malaysia,Import,Rice,2022,Vietnam,20867668,43166900000000,Kg
Malaysia,Import,Rice,2022,Pakistan,17277773,41788600000000,Kg
Malaysia,Import,Rice,2022,India,12526885,20206700000000,Kg
Malaysia,Import,Rice,2022,Thailand,6641025,14237100000000,Kg
Malaysia,Import,Rice,2022,Cambodia,3371703,4711710000000,Kg
Malaysia,Import,Rice,2022,Japan,70523,281439,Kg
Malaysia,Import,Rice,2022,Bangladesh,41561,360003,Kg
Malaysia,Import,Rice,2022,"Other Asia, nes",12232,123720,Kg
Malaysia,Import,Rice,2022,Myanmar,7707,252606,Kg
Malaysia,Import,Rice,2022,United States,4267,19200,Kg
Malaysia,Import,Rice,2022,China,3985,69000,Kg
Malaysia,Import,Rice,2022,Indonesia,3854,21610,Kg
Malaysia,Import,Rice,2022,Spain,1233,7920,Kg
Malaysia,Import,Rice,2022,United Arab Emirates,19,120,Kg
Malaysia,Import,Rice,2022,Sri Lanka,1,35,Kg
Malaysia,Import,Rice,2021,World,57552229,115419000000000,Kg
Malaysia,Import,Rice,2021,India,21287786,44166800000000,Kg
Malaysia,Import,Rice,2021,Vietnam,13316617,2426800000000,Kg
Malaysia,Import,Rice,2021,Pakistan,12142478,26596700000000,Kg
Malaysia,Import,Rice,2021,Thailand,6709006,1404900000000,Kg
Malaysia,Import,Rice,2021,Cambodia,3111696,4252070000000,Kg
Malaysia,Import,Rice,2021,Myanmar,761111,1900720000000,Kg
Malaysia,Import,Rice,2021,Bangladesh,139878,980026,Kg
Malaysia,Import,Rice,2021,Japan,39527,164879,Kg
Malaysia,Import,Rice,2021,Indonesia,26189,532720,Kg
Malaysia,Import,Rice,2021,"Other Asia, nes",11495,145800,Kg
Malaysia,Import,Rice,2021,Singapore,4884,21807,Kg
Malaysia,Import,Rice,2021,Spain,1489,7920,Kg
Malaysia,Import,Rice,2021,Italy,72,2088,Kg
Malaysia,Import,Rice,2020,World,58906258,121993000000000,Kg
Malaysia,Import,Rice,2020,Vietnam,24756314,52651700000000,Kg
Malaysia,Import,Rice,2020,India,16203341,33628400000000,Kg
Malaysia,Import,Rice,2020,Pakistan,6415703,12616300000000,Kg
Malaysia,Import,Rice,2020,Myanmar,4062295,1117800000000,Kg
Malaysia,Import,Rice,2020,Thailand,3899511,7580290000000,Kg
Malaysia,Import,Rice,2020,Cambodia,3268936,4050120000000,Kg
Malaysia,Import,Rice,2020,Bangladesh,139651,958032,Kg
